,ticker,timestamp,headline,summary
16,ONTO,2021-08-05T20:48:19Z,Recap: Onto Innovation Q2 Earnings,"Shares of Onto Innovation (NYSE:ONTO) fell in after-market trading after the company reported Q2 results.

Quarterly Results

Earnings per share increased 119.05% over the past year to $0.92, which beat the estimate of $0.80."
17,ONTO,2021-08-05T20:41:05Z,Onto Innovation Sees Q3 Adj. EPS $0.85-$0.99 vs $0.80 Est.,
18,ONTO,2021-08-05T20:40:17Z,"Onto Innovation Q2 EPS $0.92 Beats $0.80 Estimate, Sales $193.39M Beat $177.72M Estimate",
19,ONTO,2021-08-05T08:08:28Z,"Earnings Scheduled For August 5, 2021"," 

Companies Reporting Before The Bell

• OneSpaWorld Holdings (NASDAQ:OSW) is projected to report quarterly loss at $0.20 per share on revenue of $6.42 million."
20,ONTO,2021-07-14T12:17:58Z,Onto Innovation Appoints CFO Steven R. Roth T Retire In 2022,
21,ONTO,2021-06-14T14:38:45Z,Stocks That Hit 52-Week Highs On Monday," 

During Monday&#39;s morning session, 255 companies made new 52-week highs."
22,ONTO,2021-06-11T17:18:18Z,Stocks That Hit 52-Week Highs On Friday," 

 

During Friday&#39;s morning session, 235 stocks hit new 52-week highs."
23,ONTO,2021-06-01T14:27:01Z,Stocks That Hit 52-Week Highs On Tuesday," 

 

Tuesday&#39;s morning session saw 391 companies set new 52-week highs."
24,ONTO,2021-04-30T14:28:44Z,"B. Riley FBR Maintains Buy on Onto Innovation, Raises Price Target to $98",
25,ONTO,2021-04-29T21:02:10Z,Recap: Onto Innovation Q1 Earnings,"Shares of Onto Innovation (NYSE:ONTO) rose in after-market trading after the company reported Q1 results.

Quarterly Results

Earnings per share increased 87.18% year over year to $0.73, which beat the estimate of $0.68."
26,ONTO,2021-04-29T20:51:18Z,"Onto Sees Q2 Adj. EPS $0.76-$0.85, Sales $173M-$184M",
27,ONTO,2021-04-29T20:50:42Z,"Onto Innovation Q1 Adj. EPS $0.73 Beats $0.68 Estimate, Sales $169.28M Beat $162.22M Estimate",
28,ONTO,2021-04-21T11:34:25Z,"Needham Maintains Buy on Onto Innovation, Raises Price Target to $76",
29,ONTO,2021-04-06T15:48:30Z,Stocks That Hit 52-Week Highs On Tuesday," 

 

This morning 263 companies set new 52-week highs."
30,ONTO,2021-04-05T14:19:05Z,Stocks That Hit 52-Week Highs On Monday," 

Monday&#39;s morning session saw 277 companies set new 52-week highs."
31,ONTO,2021-04-05T12:44:53Z,"B. Riley FBR Maintains Buy on Onto Innovation, Raises Price Target to $90",
32,ONTO,2021-04-01T16:45:28Z,"DA Davidson Maintains Buy on Onto Innovation, Raises Price Target to $80",
33,ONTO,2021-04-01T14:15:10Z,Stocks That Hit 52-Week Highs On Thursday," 

 

During Thursday&#39;s morning session, 164 companies made new 52-week highs."
34,ONTO,2021-03-24T21:49:05Z,12 Information Technology Stocks Moving In Wednesday's After-Market Session,"Gainers

"
35,ONTO,2021-03-16T16:25:22Z,Stocks That Hit 52-Week Highs On Tuesday,This morning 279 companies reached new 52-week highs.
36,ONTO,2021-02-22T15:24:26Z,Stocks That Hit 52-Week Highs On Monday," 

 

During Monday&#39;s morning trading, 285 companies set new 52-week highs."
37,ONTO,2021-02-19T20:00:09Z,"Stocks Making New 52-Week Highs/Lows For Friday, Feb. 19, 2021 (Via Benzinga Pro's Signals Tool)",
38,ONTO,2021-02-19T19:00:11Z,Stocks That Hit 52-Week Highs On Friday," 

 

Friday morning saw 331 companies set new 52-week highs."
39,ONTO,2021-02-17T15:28:01Z,Stocks That Hit 52-Week Highs On Wednesday," 

 

This morning 194 companies reached new 52-week highs."
40,ONTO,2021-02-05T18:01:43Z,"B. Riley FBR Maintains Buy on Onto Innovation, Raises Price Target to $74",
41,ONTO,2021-02-05T16:06:36Z,Stocks That Hit 52-Week Highs On Friday," 

 

During the morning session on Friday, 389 stocks hit new 52-week highs."
42,ONTO,2021-02-05T13:36:06Z,"Needham Maintains Buy on Onto Innovation, Raises Price Target to $68",
43,ONTO,2021-02-04T22:40:09Z,Onto Innovation: Q4 Earnings Insights,"Shares of Onto Innovation (NYSE:ONTO) moved higher in after-market trading after the company reported Q4 results.

Quarterly Results

Earnings per share rose 75.61% over the past year to $0.72, which beat the estimate of $0.60."
44,ONTO,2021-02-04T21:27:33Z,"Onto Innovation Sees Q1 EPS $0.62-$0.76 Vs. $0.61 Est., Sales $155M-$169M Vs. $154.5M Est.",
45,ONTO,2021-02-04T21:26:29Z,"Onto Innovation Q4 EPS $0.72 Beats $0.60 Estimate, Sales $155.13M Beat $150.54M Estimate",
46,ONTO,2021-02-04T13:34:19Z,"Earnings Scheduled For February 4, 2021","Companies Reporting Before The Bell

• AmerisourceBergen (NYSE:ABC) is likely to report quarterly earnings at $1.94 per share on revenue of $50.49 billion.

• AGCO (NYSE:AGCO) is projected to report quarterly earnings at $1.11 per share on revenue of $2.52 billion."
47,ONTO,2021-02-03T17:26:45Z,Stocks That Hit 52-Week Highs On Wednesday," 

 

Before 10 a.m. ET on Wednesday, 192 companies set new 52-week highs."
48,ONTO,2021-01-19T15:07:40Z,Stocks That Hit 52-Week Highs On Tuesday," 

 

Tuesday&#39;s morning session saw 269 companies set new 52-week highs."
49,ONTO,2021-01-14T17:18:27Z,Stocks That Hit 52-Week Highs On Thursday," 

 

Before 10 a.m. ET Thursday, 503 stocks hit new 52-week highs."
50,ONTO,2021-01-08T15:22:53Z,Stocks That Hit 52-Week Highs On Friday," 

 

This morning 470 companies set new 52-week highs."
51,ONTO,2021-01-07T19:19:48Z,Stocks That Hit 52-Week Highs On Thursday," 

 

Thursday&#39;s morning session saw 641 companies set new 52-week highs."
52,ONTO,2021-01-07T11:34:50Z,"Onto Innovation Acquires Inspectrology, LLC; Terms Not Disclosed",
53,ONTO,2021-01-04T17:57:57Z,Stocks That Hit 52-Week Highs On Monday," 

During Monday&#39;s morning session, 286 stocks hit new 52-week highs."
54,ONTO,2020-12-28T15:22:15Z,Stocks That Hit 52-Week Highs On Monday," 

This morning 301 companies reached new 52-week highs."
55,ONTO,2020-12-18T19:41:54Z,Stocks That Hit 52-Week Highs On Friday," 

Friday&#39;s session saw 466 companies set new 52-week highs."
56,ONTO,2020-12-07T15:34:26Z,Stocks That Hit 52-Week Highs On Monday," 

During the morning session on Monday, 243 stocks hit new 52-week highs."
57,ONTO,2020-12-03T16:53:29Z,Stocks That Hit 52-Week Highs On Thursday," 

Before 10 a.m. ET Thursday, 185 stocks hit new 52-week highs."
58,ONTO,2020-11-24T15:17:36Z,Stocks That Hit 52-Week Highs On Tuesday," 

Tuesday&#39;s morning session saw 270 companies set new 52-week highs."
59,ONTO,2020-11-23T21:05:18Z,Onto Innovation Reports $100M Buyback,
60,ONTO,2020-11-02T21:32:10Z,"Onto Innovation Sees Q4 Sales $145M-$155M Vs $144.06M Estimates, EPS $0.35-$0.49 Vs $0.48 Estimates",
61,ONTO,2020-11-02T21:30:04Z,"Onto Innovation Q3 EPS $0.40 Beats $0.34 Estimate, Sales $126.50M Miss $128.08M Estimate",
62,ONTO,2020-11-02T12:55:36Z,"Earnings Scheduled For November 2, 2020"," 

Companies Reporting Before The Bell

• Itron (NASDAQ:ITRI) is likely to report quarterly earnings at $0.25 per share on revenue of $540.01 million."
63,ONTO,2020-10-28T20:37:36Z,12 Technology Stocks Moving In Wednesday's After-Market Session,"Gainers

"
64,ONTO,2020-08-05T12:24:30Z,"Benchmark Maintains Buy on Onto Innovation, Raises Price Target to $50",
65,ONTO,2020-08-05T11:40:31Z,"Needham Maintains Buy on Onto Innovation, Raises Price Target to $42",
66,ONTO,2020-08-04T20:37:15Z,"Onto Innovation Q2 EPS $0.42 Beats $0.35 Estimate, Sales $134.95M Beat $134.58M Estimate",
67,ONTO,2020-08-04T09:19:09Z,"Earnings Scheduled For August 4, 2020","Companies Reporting Before The Bell

• AdaptHealth Inc. (NASDAQ:AHCO) is estimated to report quarterly earnings at $0.19 per share on revenue of $196.28 million."
68,ONTO,2020-08-03T20:28:34Z,Onto Innovation Reports Received Multiple Purchase Orders For JetStep Projection Lithography Stepper From 3 Leading Manufacturers; Backlog Is Now ~$15M,
69,ONTO,2020-05-06T11:36:07Z,"Needham Maintains Buy on Onto Innovation, Lowers Price Target to $38",
70,ONTO,2020-05-05T20:23:13Z,Onto Innovation Sees Q2 Adj. EPS $0.29-$0.41,
71,ONTO,2020-05-05T20:22:58Z,"Onto Innovation Q1 Adj. EPS $0.390 Beats $0.330 Estimate, Sales $139.900M Beat $135.360M Estimate",
72,ONTO,2020-04-21T12:03:49Z,"Needham Maintains Buy on Onto Innovation, Lowers Price Target to $41",
73,ONTO,2020-03-30T11:39:10Z,Onto Innovation Sees Q1 Sales $134M-$139M,
74,ONTO,2020-03-27T11:34:48Z,"B. Riley FBR Maintains Buy on Onto Innovation, Raises Price Target to $40",
75,ONTO,2020-03-19T11:46:26Z,"B. Riley FBR Maintains Buy on Onto Innovation, Lowers Price Target to $31",
76,ONTO,2020-03-16T11:17:52Z,"B. Riley FBR Maintains Buy on Onto Innovation, Lowers Price Target to $45",
77,ONTO,2020-03-12T16:10:12Z,Stocks That Hit 52-Week Lows On Thursday,
78,ONTO,2020-03-11T15:41:58Z,Stocks That Hit 52-Week Lows On Wednesday,
79,ONTO,2020-02-07T14:17:31Z,"Benchmark Maintains Buy on Onto Innovation, Raises Price Target to $50",
80,ONTO,2020-02-07T12:28:28Z,"B. Riley Maintains Buy on Onto Innovation, Raises Price Target to $53",
81,ONTO,2020-02-06T21:32:17Z,"Onto Innovation Q4 EPS $0.41 Beats $0.39 Estimate, Sales $120.558M Beat $117.52M Estimate",
82,ONTO,2020-01-28T04:40:25Z,11 Technology Stocks Moving In Monday's After-Market Session,
83,ONTO,2020-01-25T04:37:28Z,12 Technology Stocks Moving In Friday's After-Market Session,
84,ONTO,2020-01-24T04:18:57Z,11 Technology Stocks Moving In Thursday's After-Market Session,
85,ONTO,2020-01-17T18:23:17Z,Stocks That Hit 52-Week Highs On Friday,
86,ONTO,2020-01-16T15:22:53Z,Stocks That Hit 52-Week Highs On Thursday,
87,ONTO,2019-11-07T21:22:36Z,"Onto Innovation Q3 EPS $0.21 Down From $0.22 YoY, Sales $62.935M Up From $60.432M YoY",
88,ONTO,2019-11-07T14:59:20Z,"Needham Initiates Coverage On Onto Innovation with Buy Rating, Announces $47 Price Target",
